Datetime,Water Level (m)
2023-02-25 18:00:00,-0.41338852
2023-02-25 19:00:00,-0.51634425
2023-02-25 20:00:00,-0.43093628
2023-02-25 21:00:00,-0.2733323
2023-02-25 22:00:00,-0.097944595
2023-02-25 23:00:00,0.070906624
2023-02-26 00:00:00,0.16811833
2023-02-26 01:00:00,0.13160706
2023-02-26 02:00:00,0.017661724
2023-02-26 03:00:00,-0.11959578
2023-02-26 04:00:00,-0.26937833
2023-02-26 05:00:00,-0.41650492
2023-02-26 06:00:00,-0.5537212
2023-02-26 07:00:00,-0.6642988
2023-02-26 08:00:00,-0.6546152
2023-02-26 09:00:00,-0.47603527
2023-02-26 10:00:00,-0.29417446
2023-02-26 11:00:00,-0.09465594
2023-02-26 12:00:00,0.061712913
2023-02-26 13:00:00,0.12460518
2023-02-26 14:00:00,0.07260049
2023-02-26 15:00:00,-0.036570482
2023-02-26 16:00:00,-0.16582948
2023-02-26 17:00:00,-0.3031892
2023-02-26 18:00:00,-0.43075162
2023-02-26 19:00:00,-0.5354107
2023-02-26 20:00:00,-0.56322044
2023-02-26 21:00:00,-0.43221432
2023-02-26 22:00:00,-0.2888016
2023-02-26 23:00:00,-0.13439792
2023-02-27 00:00:00,-0.016915012
2023-02-27 01:00:00,0.006407257
2023-02-27 02:00:00,-0.07334548
2023-02-27 03:00:00,-0.1828423
2023-02-27 04:00:00,-0.3100917
2023-02-27 05:00:00,-0.43737775
2023-02-27 06:00:00,-0.558049
2023-02-27 07:00:00,-0.6592645
2023-02-27 08:00:00,-0.69915813
2023-02-27 09:00:00,-0.59252244
2023-02-27 10:00:00,-0.44945738
2023-02-27 11:00:00,-0.2788896
2023-02-27 12:00:00,-0.11152361
2023-02-27 13:00:00,0.014778814
2023-02-27 14:00:00,0.059566185
2023-02-27 15:00:00,0.0075826375
2023-02-27 16:00:00,-0.09125636
2023-02-27 17:00:00,-0.20734224
2023-02-27 18:00:00,-0.32493746
2023-02-27 19:00:00,-0.4285206
2023-02-27 20:00:00,-0.4919506
2023-02-27 21:00:00,-0.46823937
2023-02-27 22:00:00,-0.37298894
2023-02-27 23:00:00,-0.27244672
2023-02-28 00:00:00,-0.1798361
2023-02-28 01:00:00,-0.12979129
2023-02-28 02:00:00,-0.16033404
2023-02-28 03:00:00,-0.23605402
2023-02-28 04:00:00,-0.33175758
2023-02-28 05:00:00,-0.43492925
2023-02-28 06:00:00,-0.5320354
2023-02-28 07:00:00,-0.619941
2023-02-28 08:00:00,-0.6757684
2023-02-28 09:00:00,-0.65589076
2023-02-28 10:00:00,-0.5535307
2023-02-28 11:00:00,-0.42641127
2023-02-28 12:00:00,-0.28537765
2023-02-28 13:00:00,-0.1500305
2023-02-28 14:00:00,-0.05173883
2023-02-28 15:00:00,-0.010680472
2023-02-28 16:00:00,-0.03405462
2023-02-28 17:00:00,-0.10378905
2023-02-28 18:00:00,-0.19413932
2023-02-28 19:00:00,-0.2901537
2023-02-28 20:00:00,-0.3793852
2023-02-28 21:00:00,-0.44839305
2023-02-28 22:00:00,-0.4787973
2023-02-28 23:00:00,-0.45569164
2023-03-01 00:00:00,-0.39937794
2023-03-01 01:00:00,-0.34531015
2023-03-01 02:00:00,-0.31455165
2023-03-01 03:00:00,-0.32149163
2023-03-01 04:00:00,-0.3608621
2023-03-01 05:00:00,-0.4190177
2023-03-01 06:00:00,-0.4845011
2023-03-01 07:00:00,-0.5521989
2023-03-01 08:00:00,-0.6148572
2023-03-01 09:00:00,-0.66308117
2023-03-01 10:00:00,-0.67126465
2023-03-01 11:00:00,-0.60779995
2023-03-01 12:00:00,-0.50689405
2023-03-01 13:00:00,-0.38373452
2023-03-01 14:00:00,-0.25511113
2023-03-01 15:00:00,-0.13812545
2023-03-01 16:00:00,-0.058155112
2023-03-01 17:00:00,-0.026429994
2023-03-01 18:00:00,-0.05635467
2023-03-01 19:00:00,-0.13186009
2023-03-01 20:00:00,-0.22572778
2023-03-01 21:00:00,-0.32690644
2023-03-01 22:00:00,-0.42405984
2023-03-01 23:00:00,-0.50191164
2023-03-02 00:00:00,-0.55525297
2023-03-02 01:00:00,-0.55449903
2023-03-02 02:00:00,-0.49719796
2023-03-02 03:00:00,-0.43333742
2023-03-02 04:00:00,-0.37838554
2023-03-02 05:00:00,-0.34090623
2023-03-02 06:00:00,-0.33480957
2023-03-02 07:00:00,-0.37171945
2023-03-02 08:00:00,-0.43907297
2023-03-02 09:00:00,-0.5158146
2023-03-02 10:00:00,-0.5942204
2023-03-02 11:00:00,-0.6588414
2023-03-02 12:00:00,-0.67385846
2023-03-02 13:00:00,-0.5912405
2023-03-02 14:00:00,-0.46773008
2023-03-02 15:00:00,-0.32282138
2023-03-02 16:00:00,-0.17676313
2023-03-02 17:00:00,-0.048187863
2023-03-02 18:00:00,0.03193037
2023-03-02 19:00:00,0.03591251
2023-03-02 20:00:00,-0.040796965
2023-03-02 21:00:00,-0.15179285
2023-03-02 22:00:00,-0.27505094
2023-03-02 23:00:00,-0.39925265
2023-03-03 00:00:00,-0.5098283
2023-03-03 01:00:00,-0.6005186
2023-03-03 02:00:00,-0.6223027
2023-03-03 03:00:00,-0.530906
2023-03-03 04:00:00,-0.430148
2023-03-03 05:00:00,-0.32661834
2023-03-03 06:00:00,-0.24169302
2023-03-03 07:00:00,-0.20650627
2023-03-03 08:00:00,-0.25093618
2023-03-03 09:00:00,-0.33818725
2023-03-03 10:00:00,-0.43903083
2023-03-03 11:00:00,-0.5415098
2023-03-03 12:00:00,-0.6367296
2023-03-03 13:00:00,-0.68513393
2023-03-03 14:00:00,-0.6000622
2023-03-03 15:00:00,-0.4593834
2023-03-03 16:00:00,-0.29048985
2023-03-03 17:00:00,-0.10763178
